"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os02g02400",1,"OsCATA","None","catalase isozyme A, putative, expressed"
"LOC_Os07g34570",0.0820724447184,"OsDR8","None","FAD dependent oxidoreductase domain containing protein, expressed"
"LOC_Os07g34570",0.0820724447184,"OsDR8","None","FAD dependent oxidoreductase domain containing protein, expressed"
"LOC_Os08g39300",0.0177324214466,"--","None","aminotransferase, putative, expressed"
"LOC_Os07g32880",0.0166476519068,"--","None","ATP synthase gamma chain, putative, expressed"
"LOC_Os07g01480",0.0156057587773,"--","None","oxygen evolving enhancer protein 3 domain containing protein, expressed"
"LOC_Os03g57220",0.0147801843935,"GLO1","None","hydroxyacid oxidase 1, putative, expressed"
"LOC_Os03g15920",0.0147107262138,"--","None","expressed protein"
"LOC_Os01g45274",0.0144844585503,"OsCA1|OsbetaCA1","None","carbonic anhydrase, chloroplast precursor, putative, expressed"
"LOC_Os01g01340",0.0130189436449,"Lir1|OsLIR1","None","light-induced protein 1-like, putative, expressed"
"LOC_Os02g33450",0.012814231583,"BAS1|OsTPX|OsPRX2","None","peroxiredoxin, putative, expressed"
"LOC_Os07g04840",0.0126855135517,"--","None","PsbP, putative, expressed"
"LOC_Os03g16050",0.0125628827272,"--","None","fructose-1,6-bisphosphatase, putative, expressed"
"LOC_Os07g30670",0.0123841815439,"--","None","2Fe-2S iron-sulfur cluster binding domain containing protein, expressed"
"LOC_Os12g08730",0.0117955218315,"Ostrxm","None","thioredoxin, putative, expressed"
"LOC_Os01g31690",0.0110282817496,"--","None","oxygen-evolving enhancer protein 1, chloroplast precursor, putative, expressed"
"LOC_Os12g17600",0.0104043630209,"OsRBCS2","None","ribulose bisphosphate carboxylase small chain, chloroplast precursor, putative, expressed"
"LOC_Os08g44680",0.0103265751117,"--","None","photosystem I reaction center subunit II, chloroplast precursor, putative, expressed"
"LOC_Os06g01850",0.0103224827496,"OsLFNR2|LFNR2","None","ferredoxin--NADP reductase, chloroplast precursor, putative, expressed"
"LOC_Os05g48630",0.0103170258599,"--","None","expressed protein"
"LOC_Os03g03910",0.0101751392375,"OsCATC|noe1","None","catalase domain containing protein, expressed"
"LOC_Os07g43810",0.0101193896762,"RNP29","None","RNA recognition motif containing protein, putative, expressed"
"LOC_Os02g51470",0.0100455340213,"--","None","ATP synthase F1, delta subunit family protein, putative, expressed"
"LOC_Os12g19381",0.00977736367124,"OsRBCS3|OsRBCS5","None","ribulose bisphosphate carboxylase small chain, chloroplast precursor, putative, expressed"
"LOC_Os02g47020",0.00968257975321,"OsPrk","None","phosphoribulokinase/Uridine kinase family protein, expressed"
