"gene","weight","symbol","alias","annotation"
"LOC_Os07g44620",1,"Os-eIF6;1","None","eukaryotic translation initiation factor 6, putative, expressed"
"LOC_Os02g42320",0.0147861903082,"--","None","peptidase, T1 family, putative, expressed"
"LOC_Os03g48930",0.010720811971,"--","None","peptidase, T1 family, putative, expressed"
"LOC_Os02g54700",0.00991634993304,"--","None","RNA recognition motif containing protein, putative, expressed"
"LOC_Os05g11710",0.00938040279206,"--","None","ribosomal protein L5, putative, expressed"
"LOC_Os05g06310",0.00901062323331,"--","None","60S ribosomal protein L18-3, putative, expressed"
"LOC_Os11g11390",0.00833842071563,"--","None","ribosomal protein, putative, expressed"
"LOC_Os02g47140",0.00815263924304,"--","None","L11 domain containing ribosomal protein, putative, expressed"
"LOC_Os08g02410",0.00789148517983,"--","None","40S ribosomal protein S13, putative, expressed"
"LOC_Os03g58050",0.00787295294465,"--","None","ribosomal protein S13p/S18e, putative, expressed"
"LOC_Os02g13530",0.00773187811342,"--","None","40S ribosomal protein S24, putative, expressed"
"LOC_Os03g04750",0.00763810748812,"--","None","60S ribosomal protein L21-2, putative, expressed"
"LOC_Os01g54870",0.00761049258828,"--","None","60S ribosomal protein L18a, putative, expressed"
"LOC_Os08g44480",0.00758129145687,"--","None","40S ribosomal protein S25, putative, expressed"
"LOC_Os04g56646",0.00750904579896,"--","None","MEE34, putative, expressed"
"LOC_Os02g40880",0.00747923374488,"--","None","ribosomal protein L14, putative, expressed"
"LOC_Os09g32220",0.00747181141251,"--","None","pob, putative, expressed"
"LOC_Os03g27260",0.00743358062013,"--","None","40S ribosomal protein S6, putative, expressed"
"LOC_Os08g23710",0.00736147829395,"--","None","ribosomal protein L7Ae, putative, expressed"
"LOC_Os08g13690",0.0072213067477,"--","None","60S ribosomal protein L7, putative, expressed"
"LOC_Os02g33140",0.00705973829766,"--","None","ribosomal protein, putative, expressed"
"LOC_Os09g33986",0.00705639343022,"--","None","peptidase, T1 family, putative, expressed"
"LOC_Os07g47710",0.00695454112154,"--","None","60S ribosomal protein L22-2, putative, expressed"
"LOC_Os01g60790",0.0068217777929,"--","None","40S ribosomal protein S26, putative, expressed"
"LOC_Os03g18570",0.0067982980155,"--","None","40S ribosomal protein S7, putative, expressed"
"LOC_Os08g06040",0.00679357495396,"--","None","60S ribosomal protein L34, putative, expressed"
"LOC_Os03g37970",0.00675374544174,"OsiBBC1","None","ribosomal protein L13, putative, expressed"
"LOC_Os09g24690",0.00672132299019,"--","None","60S ribosomal protein L34, putative, expressed"
"LOC_Os02g48660",0.0066161111549,"--","None","60S ribosomal protein L31, putative, expressed"
"LOC_Os06g02510",0.00645037976433,"--","None","ribosomal protein L13, putative, expressed"
"LOC_Os06g36160",0.00643613401793,"--","None","40S ribosomal protein S24, putative, expressed"
"LOC_Os02g27760",0.00643201828963,"--","None","40S ribosomal protein S15a, putative, expressed"
"LOC_Os03g22340",0.00633811852853,"--","None","60S ribosomal protein L22-2, putative, expressed"
"LOC_Os10g08930",0.006319029151,"--","None","S10/S20 domain containing ribosomal protein, putative, expressed"
"LOC_Os02g18550",0.00627201387411,"--","None","40S ribosomal protein S3a, putative, expressed"
"LOC_Os02g57540",0.00621009675354,"--","None","60S ribosomal protein L28-1, putative, expressed"
"LOC_Os07g10720",0.00605695046549,"--","None","40S ribosomal protein S15a, putative, expressed"
"LOC_Os09g39540",0.00604650510186,"--","None","40S ribosomal protein S25, putative, expressed"
"LOC_Os02g56960",0.00600147478639,"--","None","ribosomal protein, putative, expressed"
"LOC_Os01g22490",0.00589509872155,"OsUBI5|UBQ5|OsCCD4b","None","40S ribosomal protein S27a, putative, expressed"
"LOC_Os01g09510",0.00583014366513,"--","None","60S acidic ribosomal protein, putative, expressed"
"LOC_Os05g27940",0.00576415620143,"--","None","40S ribosomal protein S7, putative, expressed"
"LOC_Os01g25610",0.00574952119775,"--","None","40S ribosomal protein S4, putative, expressed"
"LOC_Os10g32920",0.00563613404581,"HLL","None","ribosomal protein, putative, expressed"
"LOC_Os08g33920",0.00556137837517,"--","None","60S ribosomal protein L34, putative, expressed"
"LOC_Os01g59990",0.00554901238376,"--","None","ribosomal protein L24, putative, expressed"
"LOC_Os05g49030",0.00552780434265,"--","None","60S ribosomal protein L18a, putative, expressed"
"LOC_Os05g39960",0.00550919110614,"--","None","40S ribosomal protein S26, putative, expressed"
"LOC_Os02g01560",0.00548620616307,"--","None","40S ribosomal protein S4, putative, expressed"
"LOC_Os07g46750",0.00542401155318,"--","None","elongation factor protein, putative, expressed"
"LOC_Os04g50990",0.00532194355742,"--","None","L11 domain containing ribosomal protein, putative, expressed"
"LOC_Os02g37862",0.00529038387273,"--","None","60S ribosomal protein L6, putative, expressed"
"LOC_Os09g39550",0.00524121198423,"IF1-2","None","expressed protein"
"LOC_Os08g41300",0.00523141959081,"rpL32_8.1","None","60S ribosomal protein L32, putative, expressed"
"LOC_Os02g47870",0.00518090644223,"--","None","anaphase-promoting complex subunit 11, putative, expressed"
"LOC_Os03g04590",0.00517832201239,"--","None","ribosomal protein, putative, expressed"
"LOC_Os05g48320",0.00516905695112,"--","None","60S ribosomal protein L37a, putative, expressed"
"LOC_Os05g38520",0.00516591287411,"--","None","60S ribosomal protein L36-2, putative, expressed"
"LOC_Os03g29460",0.00515027291137,"--","None","60S ribosomal protein, putative, expressed"
