"gene","weight","symbol","alias","annotation"
"LOC_Os09g35970",1,"--","None","6-phosphogluconolactonase, putative, expressed"
"LOC_Os02g06650",0.00736534716205,"--","None","COX VIIa, putative, expressed"
"LOC_Os02g07910",0.00733598138677,"--","None","fiber protein Fb15, putative, expressed"
"LOC_Os06g50000",0.00714134326003,"--","None","LYR motif containing protein, putative, expressed"
"LOC_Os03g09210",0.00699376859637,"--","None","NADH dehydrogenase 1 alpha subcomplex subunit 13, putative, expressed"
"LOC_Os03g48080",0.00688525240681,"--","None","CHCH domain containing protein, expressed"
"LOC_Os06g04290",0.00609735183052,"--","None","S10/S20 domain containing ribosomal protein, putative, expressed"
"LOC_Os02g21280",0.00592282621143,"--","None","POEI30 - Pollen Ole e I allergen and extensin family protein precursor, expressed"
"LOC_Os02g55060",0.00587124292083,"--","None","cytochrome b5-like Heme/Steroid binding domain containing protein, expressed"
"LOC_Os10g27174",0.0058633543242,"--","None","40S ribosomal protein S28, putative, expressed"
"LOC_Os09g38020",0.00564788791099,"--","None","Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
"LOC_Os07g45400",0.00559471301433,"--","None","expressed protein"
"LOC_Os08g02080",0.00557461842022,"--","None","rickettsia 17 kDa surface antigen family protein, expressed"
"LOC_Os08g13320",0.005379137541,"--","None","expressed protein"
"LOC_Os03g22340",0.00520743108945,"--","None","60S ribosomal protein L22-2, putative, expressed"
"LOC_Os08g09180",0.00512904431743,"--","None","postsynaptic protein CRIPT, putative, expressed"
"LOC_Os11g01600",0.00512744494535,"--","None","macrophage migration inhibitory factor, putative, expressed"
"LOC_Os10g40780",0.00503536082762,"OsNOT1","None","CCR4-Not complex component, Not1domain containing protein, expressed"
"LOC_Os07g48244",0.00503251639046,"--","None","ubiquinol-cytochrome c reductase complex 6.7 kDa protein, putative, expressed"
"LOC_Os05g41210",0.00494376152224,"OsCam2","None","OsCam2 - Calmodulin, expressed"
"LOC_Os11g01300",0.00471820987363,"--","None","protein transport protein Sec61 subunit beta, putative, expressed"
"LOC_Os09g10960",0.00464142084258,"--","None","SWP, putative, expressed"
"LOC_Os03g22810",0.00450784242771,"SodCc7","None","copper/zinc superoxide dismutase, putative, expressed"
"LOC_Os12g40520",0.00450664627087,"--","None","MATH domain containing protein, expressed"
"LOC_Os04g33110",0.00445533397594,"--","None","expressed protein"
"LOC_Os04g52180",0.00439186483036,"--","None","expressed protein"
"LOC_Os08g21561",0.00439027180709,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os05g50660",0.00437264309858,"--","None","PX domain containing protein, putative, expressed"
"LOC_Os03g22460",0.00430115205929,"--","None","expressed protein"
"LOC_Os10g42510",0.00427143609844,"--","None","expressed protein"
"LOC_Os03g46710",0.0042441327087,"--","None","expressed protein"
"LOC_Os03g11460",0.00423760111813,"--","None","expressed protein"
"LOC_Os03g06950",0.00413423843501,"--","None","ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed"
"LOC_Os06g48780",0.0040750799995,"--","None","60S acidic ribosomal protein, putative, expressed"
"LOC_Os07g46180",0.0040038488179,"--","None","PWWP domain containing protein, expressed"
"LOC_Os03g56190",0.00398761067665,"--","None","cytochrome c oxidase-related, putative, expressed"
"LOC_Os02g30050",0.00397743142153,"--","None","ribosomal protein L29, putative, expressed"
"LOC_Os03g08820",0.00397018760562,"--","None","expressed protein"
"LOC_Os02g50799",0.00396030335705,"--","None","nuclear-pore anchor, putative, expressed"
"LOC_Os12g01260",0.00395607107715,"--","None","protein transport protein Sec61 subunit beta, putative, expressed"
"LOC_Os03g11240",0.00391421767085,"--","None","nucleotidyltransferase, putative, expressed"
"LOC_Os08g10580",0.00390745081501,"--","None","expressed protein"
"LOC_Os02g54470",0.00389234408284,"--","None","60S ribosomal protein L35a-3, putative, expressed"
"LOC_Os12g13150",0.00389017354653,"--","None","expressed protein"
"LOC_Os01g14370",0.003846092896,"--","None","histone acetyltransferase HAC5, putative, expressed"
"LOC_Os11g32900",0.00378395125262,"OsRBR2","None","retinoblastoma-related protein-like, putative, expressed"
"LOC_Os07g44740",0.00377569590522,"--","None","chaperonin, putative, expressed"
"LOC_Os02g02290",0.00369708159514,"--","None","SNF2 family N-terminal domain containing protein, expressed"
"LOC_Os01g40990",0.00365462100814,"--","None","expressed protein"
"LOC_Os03g38520",0.00361416268383,"--","None","expressed protein"
"LOC_Os10g28665",0.00359414907603,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os02g48150",0.00359294120818,"--","None","expressed protein"
"LOC_Os09g33980",0.00357316947337,"--","None","bromodomain protein 103, putative, expressed"
"LOC_Os01g73570",0.00353697439857,"--","None","vacuolar protein sorting 55 family protein, putative, expressed"
"LOC_Os08g28680",0.00351752346829,"--","None","ubiquitin-conjugating enzyme, putative, expressed"
"LOC_Os04g59460",0.00349884185487,"--","None","expressed protein"
"LOC_Os02g39630",0.00342736794565,"--","None","iron-stress related protein, putative, expressed"
"LOC_Os07g32430",0.00341802742289,"--","None","pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative, expressed"
"LOC_Os07g45320",0.0034160559637,"--","None","COX VIIa, putative, expressed"
"LOC_Os09g24540",0.0033831199712,"--","None","peptidyl-prolyl cis-trans isomerase, putative, expressed"
"LOC_Os01g32710",0.00332041225207,"--","None","EDM2, putative, expressed"
"LOC_Os03g03130",0.00331572670449,"--","None","ubiquitin-conjugating enzyme, putative, expressed"
"LOC_Os08g45190",0.00330600195486,"OsPGR5","None","PGR5, putative, expressed"
"LOC_Os05g38520",0.00329301292454,"--","None","60S ribosomal protein L36-2, putative, expressed"
"LOC_Os07g47640",0.00328910081665,"--","None","ultraviolet-B-repressible protein, putative, expressed"
"LOC_Os08g10030",0.00327393703913,"--","None","KH domain-containing protein, putative, expressed"
"LOC_Os07g06590",0.00323758844498,"--","None","ML domain protein, putative, expressed"
"LOC_Os05g10770",0.00320296931048,"JMJ703|OsJMJ703","None","transcription factor jumonji, putative, expressed"
"LOC_Os09g20660",0.00319685701841,"--","None","UPF0041 domain containing protein, putative, expressed"
"LOC_Os02g14730",0.0031881831254,"OsUBP15|LG1","None","ubiquitin carboxyl-terminal hydrolase family protein, expressed"
"LOC_Os05g41520",0.00315739382192,"--","None","zinc finger, C3HC4 type domain containing protein, expressed"
"LOC_Os08g15050",0.00311674778961,"--","None","CCT/B-box zinc finger protein, putative, expressed"
"LOC_Os06g01320",0.00309476213111,"--","None","chromo domain containing protein, expressed"
"LOC_Os06g39140",0.00306743924258,"--","None","hemoglobin-like protein HbO, putative, expressed"
"LOC_Os07g41790",0.00305713049262,"--","None","LSM domain containing protein, expressed"
"LOC_Os05g33210",0.00305224355809,"--","None","cytochrome b-c1 complex subunit 9, putative, expressed"
"LOC_Os03g63420",0.00300362229444,"--","None","OsGrx_S14 - glutaredoxin subgroup II, expressed"
"LOC_Os06g43140",0.00298027667774,"--","None","GA16396-PA, putative, expressed"
